28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2800600489890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800700407080215050701.00V01.00V021.0V032.0V06.00V015.0V*****N*****N027.0V017.0V014.0V07.00V02.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V02.00V03.00V01.00V02.00V
28007004080802150507039.0V041.0V093.0V091.0V070.0V072.0V*****N*****N067.0V052.0V045.0V029.0V012.0V06.00V07.00V08.00V08.00V012.0V023.0V056.0V076.0V096.0V036.0V018.0V
28007004094902150507017.0V012.0V010.0V08.00V011.0V010.0V*****N019.0V020.0V015.0V015.0V010.0V021.0V09.00V03.00V06.00V08.00V010.0V03.00V011.0V012.0V021.0V09.00V06.00V
28007004140602150507055.0V046.0V05.00V03.00V013.0V014.0V*****N*****N*****N055.0V066.0V094.0V00120V00131V00136V00139V00140V00131V00118V072.0V047.0V026.0V076.0V090.0V
2800700481890215050700.20V00.60V00.90V00.40V01.20V01.50V01.40V01.60V01.40V01.40V01.10V01.60V01.80V01.90V02.30V02.00V01.30V01.80V02.50V01.50V00.30V00.50V01.20V02.00V
2800700482890215050700131V00105V00106V079.0V055.0V060.0V074.0V094.0V00117V00142V00155V00185V00191V00239V00228V00242V00202V00261V00282V00294V00291V00261V00259V00268V
28007004838902150507015.5V015.0V014.0V013.0V012.7V012.5V013.3V014.8V016.5V018.2V020.7V023.0V024.4V025.8V026.5V027.1V027.7V027.5V026.2V023.9V022.4V021.4V020.2V019.1V
28007004868902150507025.0V028.0V034.0V040.0V043.0V044.0V043.0V039.0V038.0V036.0V030.0V025.0V022.0V017.0V017.0V017.0V017.0V017.0V020.0V024.0V026.0V029.0V032.0V035.0V
2800700487890215050700942V00942V00941V00941V00941V00941V00942V00942V00942V00943V00943V00943V00942V00941V00940V00939V00938V00938V00937V00938V00938V00938V00938V00939V
2800700488890215050704.00V04.00V04.00V04.00V04.00V07.00V074.0V00196V00313V00531V00727V00874V00879V00859V00742V00591V00411V00221V047.0V04.00V04.00V04.00V04.00V04.00V
2800700489890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800900107080215050702.00V02.00V02.00V02.00V02.00V02.00V011.0V012.0V07.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V02.00V03.00V02.00V02.00V02.00V02.00V
28009001080802150507011.0V08.00V012.0V010.0V011.0V014.0V032.0V029.0V019.0V09.00V07.00V09.00V011.0V015.0V011.0V013.0V013.0V014.0V026.0V040.0V025.0V018.0V037.0V044.0V
2800900109490215050706.00V02.00V01.00V04.00V03.00V03.00V03.00V06.00V09.00V07.00V08.00V05.00V05.00V06.00V08.00V06.00V04.00V05.00V05.00V07.00V010.0V011.0V09.00V09.00V
28009001140602150507064.0V068.0V058.0V059.0V062.0V062.0V049.0V050.0V061.0V085.0V097.0V099.0V00100V00105V00118V00117V00118V00116V00102V092.0V092.0V090.0V063.0V051.0V
2800900181890215050702.70V01.30V00.90V01.80V02.20V03.10V01.90V01.50V01.80V01.50V02.60V02.90V03.50V03.30V03.50V02.90V02.70V02.30V01.60V01.20V01.40V01.30V02.70V01.50V
28009001828902150507054.0V063.0V099.0V042.0V053.0V055.0V060.0V072.0V029.0V00295V00168V00168V00190V00201V00203V00213V00186V00201V00234V00271V00203V00194V00172V00217V
28009001838902150507012.9V012.9V012.8V011.0V011.3V011.1V013.2V015.7V018.3V020.5V021.3V022.8V024.5V025.8V026.5V027.2V027.5V027.9V027.5V024.6V022.6V021.8V020.3V018.7V
28009001868902150507043.0V045.0V041.0V050.0V047.0V048.0V043.0V040.0V037.0V036.0V038.0V034.0V025.0V023.0V022.0V021.0V020.0V020.0V022.0V026.0V029.0V030.0V034.0V039.0V
2800900187890215050700936V00936V00936V00936V00936V00936V00936V00936V00936V00936V00936V00935V00934V00934V00933V00932V00931V00931V00931V00931V00932V00932V00932V00933V
2800900188890215050704.00V04.00V04.00V04.00V04.00V026.0V00131V00300V00486V00628V00814V00914V00972V00943V00858V00722V00548V00302V00135V07.00V04.00V04.00V04.00V04.00V
2800900189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801300207080215050701.00V01.00V01.00V01.00V01.00V02.00V05.00V06.00V03.00V02.00V01.00V05.00V01.00V01.00V02.00V01.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V
28013002080802150507011.0V012.0V010.0V011.0V010.0V014.0V018.0V020.0V012.0V09.00V09.00V014.0V09.00V06.00V06.00V09.00V016.0V020.0V028.0V048.0V040.0V012.0V014.0V08.00V
2801300210490215050708.00V08.00V011.0V07.00V07.00V07.00V016.0V012.0V023.0V028.0V025.0V028.0V025.0V026.0V016.0V021.0V017.0V011.0V015.0V024.0V021.0V017.0V013.0V020.0V
28013002140602150507048.0V043.0V045.0V039.0V035.0V031.0V031.0V039.0V061.0V079.0V095.0V00112V00123V00128V00133V00133V00124V00106V094.0V075.0V080.0V00103V099.0V00107V
2801300281890215050700.80V00.90V01.10V01.20V01.50V01.60V01.30V01.50V01.70V01.90V01.60V01.80V02.00V02.00V02.40V02.70V02.70V03.40V03.00V01.80V01.70V02.80V03.40V02.70V
28013002828902150507036.0V039.0V042.0V047.0V058.0V050.0V057.0V045.0V056.0V026.0V00347V00290V00259V00182V00232V00292V00254V00239V00233V00216V00208V00204V00220V00215V
28013002838902150507010.7V09.60V08.60V08.00V07.10V07.00V08.30V010.6V014.9V018.8V022.6V025.3V027.0V028.6V029.5V029.8V030.2V030.3V029.4V027.0V025.1V024.4V022.9V022.3V
28013002868902150507055.0V059.0V062.0V066.0V072.0V073.0V068.0V062.0V052.0V047.0V039.0V028.0V021.0V018.0V018.0V018.0V018.0V018.0V020.0V023.0V026.0V023.0V025.0V028.0V
2801300287890215050700957V00957V00957V00957V00956V00957V00957V00957V00957V00956V00956V00955V00954V00953V00952V00951V00951V00951V00951V00951V00951V00952V00952V00953V
2801300288890215050704.00V04.00V04.00V04.00V04.00V047.0V00176V00288V00634V00739V00918V00978V00964V00896V00773V00620V00437V00246V069.0V04.00V04.00V04.00V04.00V04.00V
2801300289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801400207080215050701.00V01.00V01.00V01.00V07.00V016.0V034.0V044.0V052.0V023.0V012.0V06.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28014002080802150507028.0V023.0V022.0V028.0V048.0V055.0V058.0V058.0V065.0V054.0V046.0V039.0V015.0V07.00V05.00V08.00V011.0V012.0V019.0V028.0V043.0V039.0V017.0V010.0V
28014002104902150507025.0V027.0V020.0V019.0V014.0V021.0V034.0V044.0V053.0V063.0V051.0V053.0V045.0V031.0V034.0V015.0V039.0V023.0V013.0V025.0V019.0V09.00V027.0V019.0V
28014002140602150507035.0V035.0V035.0V028.0V09.00V08.00V08.00V010.0V013.0V031.0V048.0V070.0V00100V00113V00115V00115V00115V00112V090.0V076.0V057.0V055.0V076.0V079.0V
2801400281890215050700.40V00.20V00.80V01.10V01.20V01.30V01.70V02.00V02.00V02.00V01.90V01.90V02.80V03.20V03.50V02.40V03.10V03.40V03.80V02.60V01.60V02.20V03.50V03.20V
2801400282890215050700181V00218V00156V011.0V027.0V023.0V023.0V024.0V018.0V00338V00343V00318V00231V00246V00186V00200V00253V00241V00218V00199V00178V00168V00190V00197V
28014002838902150507011.0V010.2V09.40V09.10V08.80V08.60V09.50V011.3V014.8V018.8V022.1V025.2V026.5V027.5V028.1V029.2V029.2V029.1V027.6V024.4V022.3V020.1V019.9V019.0V
28014002868902150507044.0V047.0V047.0V051.0V055.0V056.0V055.0V053.0V047.0V038.0V032.0V026.0V021.0V018.0V016.0V015.0V016.0V017.0V019.0V023.0V029.0V033.0V030.0V032.0V
2801400287890215050700950V00949V00949V00949V00949V00949V00950V00950V00949V00949V00949V00948V00947V00947V00946V00945V00944V00944V00944V00944V00945V00945V00945V00946V
2801400288890215050704.00V04.00V04.00V04.00V04.00V045.0V00136V00254V00456V00652V00847V00923V00939V00859V00784V00631V00452V00253V072.0V05.00V04.00V04.00V04.00V04.00V
2801400289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801600101380215050702.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V02.00V02.00V02.00V03.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V
2801600106480215050700.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600107080215050701.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600108080215050705.00V05.00V05.00V05.00V05.00V05.00V06.00V05.00V04.00V06.00V07.00V05.00V05.00V07.00V013.0V014.0V08.00V07.00V05.00V05.00V05.00V04.00V04.00V04.00V
2801600109490215050705.00V05.00V03.00V02.00V01.00V01.00V01.00V01.00V04.00V02.00V03.00V08.00V08.00V04.00V02.00V01.00V01.00V05.00V08.00V07.00V05.00V05.00V07.00V06.00V
2801600110490215050701.00V01.00V01.00V02.00V01.00V02.00V07.00V*****N06.00V01.00V01.00V02.00V09.00V09.00V017.0V016.0V018.0V013.0V016.0V015.0V018.0V011.0V019.0V027.0V
28016001140602150507088.0V083.0V084.0V076.0V080.0V071.0V062.0V068.0V072.0V00103V00109V00116V00122V00124V00122V00126V00141V00143V00133V00134V00122V00121V00121V00122V
2801600120590215050700.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600130590215050700.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600131590215050700.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600142020215050706.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V
2801600144020215050700.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.40V00.30V00.30V00.30V00.30V00.40V00.40V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V
2801600181890215050703.80V03.50V02.50V02.10V03.50V03.40V03.30V02.30V00.30V01.70V02.10V03.40V03.30V02.90V02.90V01.50V01.20V00.40V00.20V01.20V02.60V01.90V01.30V02.30V
28016001828902150507017.0V022.0V011.0V018.0V020.0V014.0V019.0V014.0V021.0V00200V00194V00209V00209V00202V00214V00199V00267V00270V05.00V00360V08.00V01.00V04.00V00286V
28016001838902150507010.9V010.3V010.9V09.40V09.00V08.90V09.20V011.3V013.5V016.6V019.1V020.0V021.2V022.4V023.2V024.3V024.7V025.1V024.5V022.9V020.7V020.3V020.4V019.7V
28016001868902150507052.0V055.0V050.0V056.0V056.0V055.0V058.0V050.0V048.0V033.0V034.0V035.0V031.0V028.0V026.0V025.0V026.0V026.0V028.0V029.0V033.0V033.0V032.0V034.0V
2801600187890215050700904V00904V00904V00904V00904V00904V00904V00904V00904V00904V00904V00903V00903V00902V00902V00901V00901V00901V00900V00900V00901V00901V00901V00901V
2801600188890215050704.00V04.00V04.00V04.00V04.00V029.0V00167V00241V00530V00858V00985V01100V01128V01090V00982V00817V00604V00374V00116V06.00V04.00V04.00V04.00V04.00V
2801600189890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804500206480215050700.10V00.10V00.20V00.10V00.20V00.30V00.40V00.30V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.20V00.20V00.20V00.10V00.10V00.10V00.20V00.10V00.10V
2804500207080215050701.00V02.00V02.00V05.00V012.0V035.0V051.0V021.0V012.0V08.00V06.00V05.00V04.00V04.00V03.00V03.00V02.00V03.00V01.00V01.00V01.00V05.00V01.00V01.00V
28045002080802150507013.0V011.0V016.0V021.0V054.0V090.0V00112V066.0V039.0V030.0V021.0V019.0V016.0V022.0V018.0V016.0V010.0V021.0V015.0V012.0V013.0V031.0V013.0V08.00V
28045002104902150507018.0V013.0V08.00V06.00V018.0V02.00V019.0V025.0V015.0V020.0V013.0V012.0V018.0V017.0V017.0V024.0V014.0V09.00V011.0V021.0V021.0V012.0V016.0V017.0V
28045002140602150507073.0V081.0V072.0V067.0V050.0V024.0V016.0V054.0V066.0V077.0V098.0V00101V00107V00108V00124V00124V00125V00119V00119V00115V00107V088.0V00102V00110V
2804500281890215050700.10V00.20V00.20V00.20V00.30V00.30V00.20V00.40V00.40V00.50V00.60V00.90V01.10V01.20V01.40V01.40V01.30V01.30V00.90V00.80V00.50V00.30V00.40V00.80V
2804500282890215050707.00V017.0V062.0V046.0V029.0V032.0V076.0V00122V00154V00158V00197V00196V00241V00230V00235V00237V00266V00247V00268V00290V00299V00345V00277V00241V
28045002838902150507013.8V013.6V013.6V013.1V012.4V012.4V014.5V018.0V018.5V019.2V021.1V022.2V023.4V024.1V025.3V026.4V027.1V027.4V026.7V023.9V022.2V020.9V020.2V019.6V
28045002868902150507044.0V040.0V036.0V037.0V042.0V042.0V038.0V031.0V034.0V031.0V026.0V028.0V023.0V024.0V023.0V022.0V022.0V022.0V025.0V029.0V031.0V033.0V034.0V036.0V
2804500287890215050700915V00915V00914V00915V00914V00914V00915V00915V00915V00915V00915V00914V00913V00913V00912V00912V00911V00911V00911V00911V00911V00911V00911V00912V
2804500288890215050702.00V02.00V02.00V02.00V02.00V024.0V00145V00364V00552V00625V00900V00996V01049V00989V00875V00707V00498V00214V052.0V07.00V02.00V02.00V02.00V02.00V
2804500289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804700201380215050701.00V01.00V01.00V01.00V02.00V03.00V03.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V02.00V03.00V
2804700207080215050708.00V017.0V014.0V010.0V045.0V069.0V076.0V039.0V014.0V03.00V02.00V02.00V01.00V02.00V01.00V02.00V02.00V01.00V02.00V06.00V038.0V07.00V021.0V017.0V
28047002080802150507053.0V055.0V052.0V044.0V077.0V091.0V00102V079.0V054.0V017.0V08.00V010.0V010.0V010.0V07.00V09.00V08.00V013.0V021.0V079.0V00118V067.0V088.0V070.0V
2804700209490215050704.00V01.00V04.00V07.00V05.00V04.00V05.00V019.0V018.0V014.0V013.0V022.0V015.0V018.0V020.0V015.0V015.0V012.0V026.0V021.0V033.0V018.0V014.0V013.0V
28047002140602150507020.0V015.0V015.0V019.0V010.0V010.0V016.0V028.0V065.0V094.0V00103V00103V00108V00114V00119V00114V00112V00112V00103V052.0V016.0V028.0V013.0V014.0V
2804700220590215050703.20V03.70V05.40V04.40V04.40V04.40V05.60V05.40V04.80V01.80V01.50V01.50V02.50V01.60V01.00V02.90V01.80V03.60V04.50V07.60V07.60V07.60V05.70V06.10V
2804700230590215050701.00V00.90V00.80V00.80V01.00V01.60V02.40V02.50V02.10V00.70V00.50V00.50V00.50V00.40V00.40V00.40V00.30V00.60V01.10V02.40V03.50V03.00V01.90V02.10V
2804700231590215050701.10V01.00V01.40V01.20V01.30V01.60V02.50V02.90V01.80V00.70V00.70V00.50V01.00V00.40V00.20V00.50V00.40V00.80V02.00V05.00V05.30V05.90V03.20V00.80V
2804700242020215050705.90V06.30V06.50V06.30V06.40V06.30V06.30V06.10V05.90V05.70V05.70V05.70V05.70V05.70V05.80V05.80V05.70V05.70V05.70V05.80V06.00V06.10V06.10V06.30V
2804700244020215050700.10V00.10V00.10V00.10V00.10V00.10V00.20V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.20V00.30V00.30V00.30V00.20V
2804700281890215050700.80V01.10V00.90V01.10V01.10V01.20V01.10V01.20V01.30V02.00V02.70V03.30V02.80V03.20V03.30V03.30V03.20V02.80V02.10V01.10V00.90V00.80V00.60V00.90V
28047002828902150507047.0V044.0V049.0V036.0V039.0V036.0V051.0V055.0V048.0V00242V00217V00240V00252V00247V00265V00278V00271V00274V00277V00305V01.00V027.0V041.0V060.0V
2804700283890215050708.70V07.90V07.00V06.70V06.90V06.90V010.9V014.2V019.1V021.2V021.5V022.5V023.4V024.1V024.6V025.1V025.3V025.2V024.2V021.6V017.9V015.2V013.7V012.1V
28047002868902150507066.0V069.0V071.0V070.0V066.0V067.0V053.0V043.0V026.0V022.0V021.0V021.0V019.0V020.0V020.0V019.0V019.0V019.0V022.0V028.0V041.0V050.0V056.0V063.0V
2804700287890215050700917V00916V00916V00916V00916V00916V00917V00918V00918V00919V00919V00918V00917V00917V00916V00915V00915V00915V00915V00914V00914V00914V00914V00914V
2804700288890215050704.00V04.00V04.00V04.00V04.00V029.0V00219V00292V00601V00740V00809V00891V00864V00796V00685V00540V00357V00154V045.0V05.00V04.00V04.00V04.00V04.00V
2804700289890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
28049003070802150507028.0V02.00V02.00V08.00V021.0V070.0V096.0V082.0V058.0V028.0V016.0V011.0V02.00V02.00V04.00V03.00V03.00V03.00V01.00V02.00V01.00V02.00V01.00V01.00V
28049003080802150507071.0V045.0V047.0V053.0V055.0V076.0V081.0V081.0V074.0V061.0V045.0V037.0V015.0V014.0V020.0V017.0V022.0V028.0V035.0V076.0V077.0V093.0V086.0V078.0V
28049003104902150507018.0V019.0V014.0V015.0V019.0V020.0V021.0V027.0V030.0V038.0V029.0V028.0V031.0V078.0V029.0V022.0V024.0V031.0V023.0V024.0V027.0V023.0V022.0V041.0V
2804900314060215050709.00V016.0V014.0V07.00V06.00V03.00V04.00V06.00V011.0V038.0V061.0V075.0V*****N085.0V086.0V089.0V092.0V085.0V077.0V045.0V042.0V025.0V023.0V025.0V
2804900381890215050700.80V00.60V00.80V00.80V00.80V01.10V01.00V01.10V01.20V01.00V01.30V01.60V02.10V02.90V02.40V02.30V02.10V02.30V02.20V01.60V01.60V01.80V03.10V03.10V
28049003828902150507062.0V071.0V096.0V076.0V080.0V049.0V078.0V00102V095.0V079.0V00151V00264V00226V00282V00282V00277V00294V00279V00282V00296V00291V00259V00270V00280V
28049003838902150507011.7V010.5V09.90V09.00V08.20V07.90V09.50V011.9V015.0V018.2V020.4V023.2V025.2V025.9V027.6V028.1V028.6V028.7V027.2V025.3V023.8V022.7V021.1V020.2V
28049003868902150507046.0V049.0V051.0V062.0V069.0V069.0V058.0V048.0V041.0V033.0V033.0V028.0V020.0V019.0V015.0V015.0V015.0V015.0V017.0V020.0V023.0V025.0V029.0V032.0V
2804900387890215050700927V00927V00927V00927V00927V00927V00928V00927V00927V00927V00927V00926V00925V00925V00924V00922V00922V00922V00922V00922V00922V00923V00923V00924V
2804900388890215050706.00V06.00V06.00V06.00V05.00V028.0V00114V00242V00370V00473V00668V00843V00847V00832V00729V00573V00399V00221V053.0V07.00V06.00V06.00V06.00V06.00V
2804900389890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2805800407080215050702.00V09.00V043.0V034.0V065.0V064.0V077.0V093.0V028.0V016.0V016.0V08.00V03.00V03.00V03.00V02.00V02.00V04.00V02.00V05.00V03.00V02.00V02.00V02.00V
28058004080802150507030.0V060.0V00110V00104V00101V097.0V098.0V00104V062.0V045.0V047.0V027.0V07.00V06.00V04.00V05.00V09.00V017.0V018.0V041.0V055.0V054.0V012.0V02.00V
28058004104902150507011.0V018.0V014.0V031.0V035.0V027.0V031.0V030.0V042.0V034.0V035.0V036.0V029.0V024.0V019.0V012.0V015.0V021.0V019.0V020.0V033.0V032.0V044.0V021.0V
28058004140602150507078.0V044.0V06.00V05.00V05.00V07.00V010.0V014.0V053.0V064.0V067.0V096.0V00124V00132V00139V00140V00138V00125V00114V088.0V070.0V062.0V00103V00107V
2805800420590215050701.60V07.10V06.60V04.40V04.10V04.90V03.00V02.90V02.10V01.40V02.10V03.30V01.30V00.70V00.50V00.90V00.60V01.10V01.20V00.70V01.10V02.90V02.50V01.00V
2805800430590215050700.20V00.40V00.40V00.90V00.70V01.10V01.20V01.10V01.00V00.20V00.50V00.40V00.20V00.20V00.20V00.20V00.20V00.20V00.50V00.40V00.70V00.40V00.20V00.20V
2805800431590215050700.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.80V00.60V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.30V00.20V00.30V00.30V
2805800442020215050704.90V05.50V014.8V011.5V07.20V05.60V05.30V05.40V05.10V05.20V05.90V05.00V04.50V04.50V04.50V04.50V04.50V04.60V04.70V04.70V04.80V04.90V04.70V04.70V
2805800444020215050700.40V00.90V00.70V00.60V00.60V00.50V00.40V00.50V00.20V00.20V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.20V00.10V00.20V00.20V00.30V00.20V00.10V
2805800481890215050700.90V01.20V01.70V01.60V02.10V02.20V02.20V02.40V03.10V02.60V02.30V02.60V02.90V02.60V02.50V02.70V02.20V02.80V02.50V01.50V01.30V02.30V02.60V02.70V
2805800482890215050700327V00353V00130V063.0V049.0V060.0V064.0V00115V00125V00133V00132V00155V00271V00282V00223V00261V00281V00300V00305V00298V00289V00280V00295V00295V
28058004838902150507018.8V017.5V015.2V014.7V014.0V013.8V014.5V016.0V017.9V019.9V022.4V025.0V027.6V029.1V030.1V031.0V031.7V031.4V030.0V027.7V026.1V024.1V023.7V022.6V
28058004868902150507026.0V031.0V036.0V038.0V045.0V048.0V048.0V044.0V042.0V041.0V037.0V032.0V023.0V020.0V021.0V020.0V020.0V021.0V023.0V028.0V030.0V034.0V034.0V037.0V
2805800487890215050700938V00938V00938V00938V00938V00938V00938V00938V00938V00938V00938V00937V00937V00936V00936V00935V00934V00934V00934V00934V00934V00934V00935V00935V
2805800488890215050704.00V04.00V04.00V04.00V04.00V010.0V075.0V00216V00399V00497V00640V00791V00828V00851V00748V00602V00433V00168V04.00V04.00V04.00V04.00V04.00V04.00V
2805800489890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
28065014070802150507065.0V090.0V046.0V056.0V087.0V063.0V00115V00124V042.0V015.0V014.0V07.00V02.00V02.00V02.00V01.00V02.00V03.00V03.00V02.00V05.00V028.0V05.00V01.00V
2806501408080215050700100V00105V089.0V084.0V080.0V074.0V091.0V00106V067.0V039.0V037.0V023.0V09.00V07.00V07.00V08.00V014.0V024.0V042.0V064.0V099.0V00120V054.0V016.0V
28065014104902150507025.0V028.0V033.0V024.0V029.0V026.0V028.0V037.0V038.0V043.0V051.0V044.0V045.0V021.0V017.0V015.0V016.0V012.0V016.0V026.0V033.0V029.0V032.0V023.0V
2806501414060215050702.00V02.00V01.00V01.00V01.00V02.00V04.00V08.00V030.0V058.0V062.0V088.0V00114V00122V00122V00125V00120V00112V086.0V062.0V025.0V02.00V045.0V084.0V
2806501481890215050700.20V00.30V00.30V00.30V00.40V00.80V00.70V00.80V01.30V01.10V01.00V01.00V01.50V01.50V01.40V01.20V01.10V01.20V01.20V01.20V00.50V00.40V00.60V01.20V
2806501482890215050700284V014.0V097.0V00335V00358V00326V048.0V063.0V075.0V070.0V00354V00169V00137V00158V00155V00157V00157V00218V00242V00266V00251V00159V00195V00223V
28065014838902150507014.8V013.7V012.5V011.7V010.9V010.9V012.2V013.8V016.2V018.3V020.9V024.2V026.2V028.0V029.3V030.2V031.0V030.9V029.7V026.5V024.7V022.4V021.6V021.1V
28065014868902150507037.0V037.0V040.0V045.0V052.0V055.0V052.0V047.0V040.0V039.0V037.0V030.0V025.0V018.0V018.0V018.0V019.0V019.0V021.0V026.0V029.0V034.0V035.0V036.0V
2806501487890215050700947V00947V00946V00946V00946V00946V00947V00947V00947V00947V00947V00946V00945V00945V00944V00943V00943V00943V00942V00943V00943V00943V00944V00944V
2806501488890215050701.00V01.00V01.00V01.00V01.00V024.0V093.0V00206V00356V00508V00738V00851V00899V00892V00830V00678V00486V00283V078.0V02.00V01.00V01.00V01.00V01.00V
2806501489890215050700.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2806700107080215050701.00V01.00V01.00V01.00V01.00V*****N018.0V019.0V015.0V02.00V04.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V
2806700108080215050705.00V04.00V04.00V04.00V05.00V*****N025.0V033.0V027.0V09.00V09.00V05.00V09.00V09.00V012.0V07.00V06.00V08.00V08.00V014.0V017.0V022.0V013.0V05.00V
28067001104902150507012.0V010.0V07.00V06.00V06.00V05.00V06.00V019.0V030.0V034.0V023.0V013.0V015.0V011.0V09.00V013.0V012.0V010.0V011.0V016.0V017.0V016.0V011.0V05.00V
28067001140602150507044.0V042.0V039.0V036.0V036.0V*****N022.0V026.0V059.0V087.0V096.0V00111V00111V00114V00120V00132V00126V00121V00114V086.0V072.0V057.0V067.0V091.0V
2806700181890215050700.50V00.50V00.50V00.50V00.50V00.60V00.40V00.80V01.10V01.40V02.50V03.20V03.00V03.50V03.60V03.20V03.00V02.10V01.60V01.10V01.10V00.70V01.50V01.80V
28067001828902150507078.0V090.0V092.0V090.0V058.0V052.0V035.0V061.0V071.0V020.0V083.0V00149V00106V00135V00105V00144V00131V00119V00188V00255V00134V00298V044.0V00174V
2806700183890215050707.90V06.90V06.20V05.70V05.80V06.00V010.2V013.4V017.2V020.3V022.0V022.5V023.6V024.4V024.8V025.3V025.6V025.7V024.0V019.7V017.4V014.8V014.6V016.3V
28067001868902150507081.0V084.0V086.0V087.0V086.0V088.0V070.0V060.0V043.0V031.0V027.0V025.0V025.0V020.0V021.0V022.0V021.0V023.0V027.0V040.0V046.0V058.0V055.0V045.0V
2806700187890215050700925V00924V00924V00925V00924V00925V00925V00924V00923V00923V00922V00922V00921V00920V00920V00919V00918V00918V00918V00919V00919V00919V00920V00920V
